date,composite_instability,Europe→US_inst_z,Gold vs SPX_inst_z,10Y vs SPX_inst_z,HY vs SPX_inst_z,AUDJPY vs SPX_inst_z,JPY vs SPX_inst_z,Europe→US_roll21,Gold vs SPX_roll21,10Y vs SPX_roll21,HY vs SPX_roll21,AUDJPY vs SPX_roll21,JPY vs SPX_roll21
1989-07-31,,,,,,,,,,,,,
1989-08-31,,,,,,,,,,,,,
1989-09-29,,,,,,,,,,,,,
1989-10-31,,,,,,,,,,,,,
1989-11-01,,,,,,,,,,,,,
1989-11-02,,,,,,,,,,,,,
1989-11-03,,,,,,,,,,,,,
1989-11-06,,,,,,,,,,,,,
1989-11-07,,,,,,,,,,,,,
1989-11-08,,,,,,,,,,,,,
1989-11-09,,,,,,,,,,,,,
1989-11-10,,,,,,,,,,,,,
1989-11-13,,,,,,,,,,,,,
1989-11-14,,,,,,,,,,,,,
1989-11-15,,,,,,,,,,,,,
1989-11-16,,,,,,,,,,,,,
1989-11-17,,,,,,,,,,,,,
1989-11-20,,,,,,,,,,,,,
1989-11-21,,,,,,,,,,,,,
1989-11-22,,,,,,,,,,,,,
1989-11-24,,,,,,,,,,,,,
1989-11-27,,,,,,,,,,,,,
1989-11-28,,,,,,,,,,,,,
1989-11-29,,,,,,,,,,,,,
1989-11-30,,,,,,,,,,,,,
1989-12-01,,,,,,,,,,,,,
1989-12-04,,,,,,,,,,,,,
1989-12-05,,,,,,,,,,,,,
1989-12-06,,,,,,,,,,,,,
1989-12-07,,,,,,,,,,,,,
1989-12-08,,,,,,,,,,,,,
1989-12-11,,,,,,,,,,,,,
1989-12-12,,,,,,,,,,,,,
1989-12-13,,,,,,,,,,,,,
1989-12-14,,,,,,,,,,,,,
1989-12-15,,,,,,,,,,,,,
1989-12-18,,,,,,,,,,,,,
1989-12-19,,,,,,,,,,,,,
1989-12-20,,,,,,,,,,,,,
1989-12-21,,,,,,,,,,,,,
1989-12-22,,,,,,,,,,,,,
1989-12-26,,,,,,,,,,,,,
1989-12-27,,,,,,,,,,,,,
1989-12-28,,,,,,,,,,,,,
1989-12-29,,,,,,,,,,,,,
1990-01-02,,,,,,,,,,,,,
1990-01-03,,,,,,,,,,,,,
1990-01-04,,,,,,,,,,,,,
1990-01-05,,,,,,,,,,,,,
1990-01-06,,,,,,,,,,,,,
1990-01-08,,,,,,,,,,,,,
1990-01-09,,,,,,,,,,,,,
1990-01-10,,,,,,,,,,,,,
1990-01-11,,,,,,,,,,,,,
1990-01-12,,,,,,,,,,,,,
1990-01-13,,,,,,,,,,,,,
1990-01-15,,,,,,,,,,,,,
1990-01-16,,,,,,,,,,,,,
1990-01-17,,,,,,,,,,,,,
1990-01-18,,,,,,,,,,,,,
1990-01-19,,,,,,,,,,,,,
1990-01-20,,,,,,,,,,,,,
1990-01-22,,,,,,,,,,,,,
1990-01-23,,,,,,,,,,,,,
1990-01-24,,,,,,,,,,,,,
1990-01-25,,,,,,,,,,,,,
1990-01-26,,,,,,,,-0.1421899998430081,-0.04731328906851277,0.09664607438391883,,-0.1766270009812276,-0.10502084088290876
1990-01-29,,,,,,,,-0.17366790047167516,-0.03795365987460914,0.10601980625174715,,-0.18205290317898148,-0.10121564354891548
1990-01-30,,,,,,,,-0.21428995479303786,-0.008303845108726952,0.10464279446449555,,-0.2096313904323625,-0.2397624539178816
1990-01-31,,,,,,,,-0.160140104816166,-0.15010493619778945,-0.16299337852354434,,-0.061638017827074384,-0.11222643194859235
1990-02-01,,,,,,,,-0.13479600799589841,-0.12245481884128197,-0.16215184973524197,,-0.059765568975511954,-0.10427505229856454
1990-02-02,,,,,,,,-0.0662401269815754,-0.08553384127510225,-0.10542981058154634,,-0.03667950028469722,-0.0831386535803859
1990-02-03,,,,,,,,-0.036003929166570234,-0.08140264877356794,-0.1362172375967953,,0.007214722967601709,-0.006039132683164612
1990-02-05,,,,,,,,-0.0362181211810111,-0.007991589374362291,-0.1432791920493244,,-0.005749680084671611,-0.004272862082361015
1990-02-06,,,,,,,,-0.04538572617771415,-0.008654851290045213,-0.15955335356477388,,-0.0197255011084916,-0.002657865282040877
1990-02-07,,,,,,,,-0.1699660062864383,-0.1353015596586535,-0.1959732519065057,,-0.03939049183819924,0.046103757301585446
1990-02-08,,,,,,,,-0.17213143041195392,-0.13595989234665426,-0.1553839562406426,,-0.038483518232431096,0.04709791429914716
1990-02-09,,,,,,,,-0.21260528620808472,-0.14420629414365022,-0.16605226712649748,,-0.03007563398991565,0.04767343929548355
1990-02-10,,,,,,,,-0.0960964179058424,-0.0889011790183308,-0.25525851026018753,,-0.03855428587718247,0.04574363292598443
1990-02-12,,,,,,,,-0.010642308504321471,-0.11584923342159952,-0.32039162551912637,,0.004737886105903246,0.1356148099937547
1990-02-13,,,,,,,,-0.009725291289116509,-0.11311273393520024,-0.38435571310900357,,-0.010283988107692751,0.12705491404818461
1990-02-14,,,,,,,,-0.01263858289500503,-0.11717831393236218,-0.35022716609663257,,-0.014638357172296907,0.14151006226703883
1990-02-15,,,,,,,,0.01979526187204561,-0.17868424110789274,-0.3136206913420051,,0.05104990437551975,0.15476185992817437
1990-02-16,,,,,,,,-0.028610101752634218,-0.44827647500449763,-0.3095941648735506,,0.21123029076099303,0.5130968167253521
1990-02-17,,,,,,,,-0.04503104187643636,-0.526810584427224,-0.3494393055028808,,0.32449699807300264,0.5286434993061333
1990-02-19,,,,,,,,-0.11024268964469482,-0.5148838124265381,-0.34064340405232113,,0.28599507794584256,0.4991735374141005
1990-02-20,,,,,,,,0.1834284509266219,-0.6294434408371481,-0.45028626163357716,,0.1116971176081638,0.18209707564833028
1990-02-21,,,,,,,,0.1888501370052624,-0.6354307863208006,-0.4429842298373917,,0.09934479073627958,0.19505813696153743
1990-02-22,,,,,,,,0.1758032064665677,-0.5929103645628783,-0.3847462344623885,,0.09756893685977114,0.13626733382007827
1990-02-23,,,,,,,,0.21240517120082436,-0.6093043632127595,-0.413013917803532,,0.11944331195121377,0.1603645759502671
1990-02-24,,,,,,,,0.19344329942038918,-0.48776375836645525,-0.3251184326499624,,-0.0777101988507168,0.07905638605769248
1990-02-26,,,,,,,,0.14054757309649368,-0.655794825339889,-0.39900486207065733,,0.12317044052468097,0.3620704805508683
1990-02-27,,,,,,,,0.09187826065533534,-0.6211794892414098,-0.49239707250712916,,-0.0009676773386215456,0.3154870056125514
1990-02-28,,,,,,,,0.10634826880596929,-0.6297765793491412,-0.41135289474532,,0.022814507281196512,0.3137527966118963
1990-03-01,,,,,,,,0.06923571963945754,-0.7112625635219364,-0.3956219965488251,,0.07163172607709827,0.32969540361258387
1990-03-02,,,,,,,,0.16267106082744928,-0.7545353318984135,-0.3831127877492094,,0.026374212553799414,0.323882856649088
1990-03-03,,,,,,,,0.3070486764781132,-0.7450243155471734,-0.36255128461353603,,0.14237890238337209,0.3339521911786699
1990-03-05,,,,,,,,0.2838855963005565,-0.7486172012966028,-0.44799721446095114,,0.1616830483121963,0.3594145904805562
1990-03-06,,,,,,,,0.2544997368714213,-0.6942299792717594,-0.5341166054058999,,0.18335105640279714,0.3164607816252344
1990-03-07,,,,,,,,0.21953664238390144,-0.6319951675363434,-0.5337755735613678,,0.15940909103971493,0.2490777227261082
1990-03-08,,,,,,,,0.18789218594075194,-0.5502449754552183,-0.4933370390157498,,0.040547652445869664,0.02654284633613518
1990-03-09,,,,,,,,0.20219910354518247,-0.5413786692603838,-0.5299786332932764,,0.06324217562915196,0.01173757053745456
1990-03-10,,,,,,,,0.21027287667577715,-0.542201188273318,-0.5438761414528381,,0.0900543497630831,0.026367730398820805
1990-03-12,,,,,,,,0.16456340909876394,-0.5022624009639998,-0.5931520430232798,,0.04274009883383052,0.058321768580510316
1990-03-13,,,,,,,,0.21551842853621486,-0.45210069190251934,-0.6444075914886851,,0.018224685371577756,0.028444869787280936
1990-03-14,,,,,,,,0.21287840086811802,-0.45406764176560094,-0.6322034187791831,,0.004814148305095684,0.009252110721955515
1990-03-15,,,,,,,,0.22702385958730428,-0.4401899144177696,-0.631800501804332,,-0.01478859467052159,0.007668571543250162
1990-03-16,,,,,,,,-0.0064111221771729655,-0.18652657421870397,-0.5617395114852191,,-0.09873460030709659,0.034782648832659635
1990-03-17,,,,,,,,-0.031648189330949206,-0.20644043509812648,-0.5756294024613798,,-0.06829347497841513,0.026260988408042973
1990-03-18,,,,,,,,0.00889381176100661,-0.2765624965872018,-0.6916483446610862,,-0.09953359035218466,0.0633046822613753
1990-03-19,,,,,,,,-0.12159466917908891,-0.26487927191403715,-0.7131186435001521,,0.01325336530126267,0.15806850544614456
1990-03-20,,,,,,,,-0.10850774391038893,0.023876454474474732,-0.6155520809507771,,-0.024279661193828486,0.13686544463190278
1990-03-21,,,,,,,,-0.06458131814112768,0.2540702505109484,-0.5682216685001605,,-0.17071336524747663,-0.14202876469801884
1990-03-22,,,,,,,,0.06663947754861498,0.060634721886092514,-0.4156362215189095,,-0.1868757172759676,-0.22189561590012313
1990-03-23,,,,,,,,0.07958707490460368,0.018183975013833554,-0.5219405170612101,,-0.24989136164799686,-0.25262312137701837
1990-03-24,,,,,,,,0.12065383650084031,0.010327681061663927,-0.5683318674901053,,-0.303100505800488,-0.27244318212604557
1990-03-26,,,,,,,,0.011915323540862194,0.0014635775889894355,-0.553497697757474,,-0.2538055977870054,-0.2287090389873304
1990-03-27,,,,,,,,-0.10932247439881972,0.07187410284424153,-0.4827928994935157,,-0.17189804194841132,-0.1574137455418026
1990-03-28,,,,,,,,-0.07502000697633485,0.09820128824025884,-0.4444416449865169,,-0.22010300497824795,-0.2100605908971245
1990-03-29,,,,,,,,-0.010844993858991589,0.061807670982599705,-0.3808310020001616,,-0.2159513694646154,-0.06927035865206045
1990-03-30,,,,,,,,0.009855764312128023,0.04823184326162011,-0.37933994220375455,,-0.2137368043342052,-0.056643946600070404
1990-03-31,,,,,,,,-0.0615563905360821,0.0341556382526494,-0.35844989500980834,,-0.18787439581342677,0.004278844459169531
1990-04-02,,,,,,,,0.008074248902331514,0.042147099539463946,-0.2963869083819845,,-0.2447330265950429,-0.008828388058921994
1990-04-03,,,,,,,,0.2084354208721692,0.16873908062823192,-0.29189165905266673,,-0.20205100904206563,-0.025420283061255024
1990-04-04,,,,,,,,0.2554456940784323,0.1291479380297914,-0.16815662049284855,,-0.21146692711125334,0.020251556680238692
1990-04-05,,,,,,,,0.3456143853367245,0.14572627750431705,-0.07038609689639794,,-0.15102974483157577,0.028356260278138257
1990-04-06,,,,,,,,0.3663104290226168,0.11836241997214282,-0.04666078939314321,,-0.13374098102695806,0.043206621118185684
1990-04-07,,,,,,,,0.3545953926725514,0.11463307069138713,-0.06486900415094052,,-0.11172555416659719,0.0424783239353484
1990-04-09,,,,,,,,0.2713766051645619,0.06819920074446306,0.16523234861663763,,-0.03601650081478172,0.0736142676978938
1990-04-10,,,,,,,,0.23118411090315408,0.06851145712744204,0.17700745512602412,,-0.014570726002843945,0.08635408056393637
1990-04-11,,,,,,,,0.23175881214705363,0.06825489668511736,0.17779419105637584,,-0.01221188567150409,0.08796979243895524
1990-04-12,,,,,,,,0.262154133402963,0.08022605852959314,0.19056722416287303,,-0.0535580677248494,0.032974411586081144
1990-04-13,,,,,,,,0.2731117332799568,0.02216875404678646,0.1345320499495748,,-0.034779164116222956,0.041146561821072604
1990-04-14,,,,,,,,0.38342724105978016,0.02234886612340362,0.17908887879940139,,-0.07742208334839198,0.046208690127974995
1990-04-16,,,,,,,,0.3170076973651996,0.09318918676699345,0.06588385909609454,,-0.018264125283072506,0.15305005812522118
1990-04-17,,,,,,,,0.3000978696280624,0.11985361069991869,0.052958532066969786,,0.06561668624538224,0.21361739766169416
1990-04-18,,,,,,,,0.3948102263599819,0.07528299177234907,-0.195100353310713,,0.12218152561526409,0.2992386098627386
1990-04-19,,,,,,,,0.40570186609499875,0.21613983029704661,-0.1754932131687718,,0.2548383019645214,0.44361216741407855
1990-04-20,,,,,,,,0.467978112101675,0.15433289328390096,-0.27293278257785214,,0.12517216984325558,0.26437816274801995
1990-04-21,,,,,,,,0.4649374199524748,0.15700602902417568,-0.26330917222533956,,0.10112132505374388,0.24817871980503917
1990-04-23,,,,,,,,0.6323044969365876,0.07865449282252462,-0.255967477383871,,0.22819044756947432,0.2272031223247186
1990-04-24,,,,,,,,0.6620421186048789,0.07967183172663254,-0.25265582524358854,,0.22687926523547625,0.2326046687371273
1990-04-25,,,,,,,,0.6788008795692541,-0.03089204777977474,-0.2432284668106299,,0.21217462092353004,0.22542511374028665
1990-04-26,,,,,,,,0.6630520900179901,-0.03677320253557305,-0.20100387084602583,,0.17237582881895377,0.26102033992279566
1990-04-27,,,,,,,,0.4486249756335315,-0.4843332724101547,-0.02366493030118765,,0.13552820865610282,0.23329102964117912
1990-04-28,,,,,,,,0.4701728204121626,-0.4627823463908082,-0.18028401594658075,,0.1758858099575454,0.20827263468919255
1990-04-30,,,,,,,,0.42832485110141016,-0.49831013481422803,-0.23475400961190288,,0.1851209215147578,0.20716381114252516
1990-05-01,,,,,,,,0.4368704805116983,-0.5225738901032873,-0.2171805115098808,,0.1151503310869328,0.19832052003791756
1990-05-02,,,,,,,,0.5017373355679362,-0.5126916860030513,-0.24189482933100842,,0.17244431592602796,0.1418190515291751
1990-05-03,,,,,,,,0.5663908535953485,-0.44423441143897296,-0.2956709054527139,,0.2072282826862782,0.14328635111782362
1990-05-04,,,,,,,,0.6662983517167015,-0.4336155535682356,-0.4337147304822689,,0.19396259444081765,0.1306048343501638
