,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SPX,0.25891551224060677,-0.05039822291772564,0.1371771528677189,-0.30691899137181894,-0.08065235771014476,-0.1441743514475138,-0.08947534511950792,0.13167710135328636,0.022447238549977884,-0.05339458880031444
NDX,0.21298834254336713,-0.024964969323209702,0.15104428989151572,-0.31382897629471423,-0.09712314164752128,-0.16793621848982693,-0.13103436056799395,0.22292891953719604,0.015646699227085174,-0.07671839020939825
RTY,0.24894605835225606,-0.05430160374208321,0.11001379142696893,-0.2929086030723338,-0.07723783090324869,-0.13714934822738273,-0.09265041019503101,0.13414376679556866,0.014835508315436402,-0.0447842636867164
DAX,0.262387241501682,-0.04354971899587072,0.18646132527949677,0.024163685077821184,-0.06769674987269228,0.3114787741083696,0.10859105188736716,0.05445400868863237,-0.09880120282518778,0.10397347539080387
FTSE,0.2608173363846079,-0.0705614023496412,0.15624133682721328,0.060207156599205135,-0.01040495814851191,0.3066406274679673,0.10952288968628221,0.011030093891475119,-0.09751380501805004,0.11416595544639462
CAC,0.2659759438537805,-0.057342034822170276,0.1808555323821774,0.04258021872904142,-0.049507369760739516,0.3348191447892604,0.12993583653559684,0.013714987628257229,-0.07938867555473222,0.10080003295635037
Nikkei,0.1356343261421345,-0.0758955254408007,0.08922489427546279,0.3678795844027067,0.03503834209949873,-0.2355345278137573,0.050929964574054166,0.17055336673468402,0.030929467103373316,-0.038415145680472405
HangSeng,0.15190474910183563,-0.10142562423480926,0.07497783097673015,0.3239802687532814,0.032277093598727845,-0.16771530462403708,0.07387030938316795,0.18255770584620767,-0.15418338055860456,0.10489776158571074
ASX,0.14776034657656528,-0.10102112502800872,0.09963298630888263,0.35747947801069035,0.011050203825478683,-0.1922577078879849,-0.0824363294235304,0.09827405832338562,-0.071292017418243,0.05942523093164683
KOSPI,0.12399790212586802,-0.08449561578602234,0.07535618462053667,0.32187513601621814,0.019088433263344317,-0.22633415479212862,0.045561056587377566,0.21224487191132127,-0.09165763571409936,0.057249222958014344
VIX,-0.21732741073836964,0.041222159528557296,-0.14136848012207484,0.28020609198667007,0.05980240264099,0.08369662939892138,0.05615136173669071,-0.08590035325198006,-0.13527751649464903,0.07479996378983829
