date,credit_score,credit_regime,ted_spread,italy_germany_spread
1989-06-30,,TIGHT,,
1989-07-31,,TIGHT,,
1989-08-31,,TIGHT,,
1989-09-29,,TIGHT,,
1989-10-31,,TIGHT,,
1989-11-01,,TIGHT,,
1989-11-02,,TIGHT,,
1989-11-03,,TIGHT,,
1989-11-06,,,,
1989-11-07,,,,
1989-11-08,,,,
1989-11-09,,,,
1989-11-10,,,,
1989-11-13,,,,
1989-11-14,,,,
1989-11-15,,,,
1989-11-16,,,,
1989-11-17,,,,
1989-11-20,,,,
1989-11-21,,,,
1989-11-22,,,,
1989-11-24,,,,
1989-11-27,,,,
1989-11-28,,,,
1989-11-29,,,,
1989-11-30,,TIGHT,,
1989-12-01,,TIGHT,,
1989-12-04,,TIGHT,,
1989-12-05,,TIGHT,,
1989-12-06,,,,
1989-12-07,,,,
1989-12-08,,,,
1989-12-11,,,,
1989-12-12,,,,
1989-12-13,,,,
1989-12-14,,,,
1989-12-15,,,,
1989-12-18,,,,
1989-12-19,,,,
1989-12-20,,,,
1989-12-21,,,,
1989-12-22,,,,
1989-12-26,,,,
1989-12-27,,,,
1989-12-28,,,,
1989-12-29,,TIGHT,,
1990-01-02,,TIGHT,,
1990-01-03,,TIGHT,,
1990-01-04,,TIGHT,,
1990-01-05,,TIGHT,,
1990-01-06,,TIGHT,,
1990-01-08,,TIGHT,,
1990-01-09,,TIGHT,,
1990-01-10,,TIGHT,,
1990-01-11,,TIGHT,,
1990-01-12,,TIGHT,,
1990-01-13,,TIGHT,,
1990-01-15,,TIGHT,,
1990-01-16,,TIGHT,,
1990-01-17,,TIGHT,,
1990-01-18,,TIGHT,,
1990-01-19,,TIGHT,,
1990-01-20,,TIGHT,,
1990-01-22,,TIGHT,,
1990-01-23,,TIGHT,,
1990-01-24,,TIGHT,,
1990-01-25,,TIGHT,,
1990-01-26,,TIGHT,,
1990-01-29,,TIGHT,,
1990-01-30,,TIGHT,,
1990-01-31,,TIGHT,,
1990-02-01,,TIGHT,,
1990-02-02,,TIGHT,,
1990-02-03,,TIGHT,,
1990-02-05,,TIGHT,,
1990-02-06,,TIGHT,,
1990-02-07,,TIGHT,,
1990-02-08,,TIGHT,,
1990-02-09,,TIGHT,,
1990-02-10,,TIGHT,,
