date,rates_score,rates_regime,us_2s10s,us_5s30s,us_real_10y,us_de_10y_diff,us_jp_10y_diff,it_de_10y_diff
1989-06-30,,,,,,,,
1989-07-31,,,,,,,,
1989-08-31,,,,,,,,
1989-09-29,,,,,,,,
1989-10-31,,,,,,,,
1989-11-01,,,,,,,,
1989-11-02,,,,,,,,
1989-11-03,,,,,,,,
1989-11-06,,,,,,,,
1989-11-07,,,,,,,,
1989-11-08,,,,,,,,
1989-11-09,,,,,,,,
1989-11-10,,,,,,,,
1989-11-13,,,,,,,,
1989-11-14,,,,,,,,
1989-11-15,,,,,,,,
1989-11-16,,,,,,,,
1989-11-17,,,,,,,,
1989-11-20,,,,,,,,
1989-11-21,,,,,,,,
1989-11-22,,,,,,,,
1989-11-24,,,,,,,,
1989-11-27,,,,,,,,
1989-11-28,,,,,,,,
1989-11-29,,,,,,,,
1989-11-30,,,,,,,,
1989-12-01,,,,,,,,
1989-12-04,,,,,,,,
1989-12-05,,,,,,,,
1989-12-06,,,,,,,,
1989-12-07,,,,,,,,
1989-12-08,,,,,,,,
1989-12-11,,,,,,,,
1989-12-12,,,,,,,,
1989-12-13,,,,,,,,
1989-12-14,,,,,,,,
1989-12-15,,,,,,,,
1989-12-18,,,,,,,,
1989-12-19,,,,,,,,
1989-12-20,,,,,,,,
1989-12-21,,,,,,,,
1989-12-22,,,,,,,,
1989-12-26,,,,,,,,
1989-12-27,,,,,,,,
1989-12-28,,,,,,,,
1989-12-29,,EASING,,,,,,
1990-01-02,,EASING,0.054999999999999716,0.1429999999999998,,0.44599999999999973,2.1899999999999995,
1990-01-03,,EASING,0.0470000000000006,0.12300000000000111,,0.4670000000000005,2.234,
1990-01-04,,EASING,0.06200000000000028,0.1349999999999998,,0.5440000000000005,2.1020000000000003,
1990-01-05,,EASING,0.0990000000000002,0.15999999999999925,,0.4820000000000002,2.0839999999999996,
1990-01-06,,EASING,0.0990000000000002,0.15999999999999925,,0.4820000000000002,2.0839999999999996,
1990-01-08,,EASING,0.11900000000000066,0.1869999999999994,,0.5050000000000008,2.032,
1990-01-09,,EASING,0.11600000000000055,0.19099999999999984,,0.5070000000000006,1.8290000000000006,
1990-01-10,,EASING,0.137999999999999,0.17800000000000082,,0.5359999999999996,1.7739999999999991,
1990-01-11,,EASING,0.12400000000000055,0.16600000000000037,,0.5850000000000009,1.7640000000000002,
1990-01-12,,EASING,0.15800000000000036,0.18799999999999972,,0.641,1.596,
1990-01-13,,EASING,0.15800000000000036,0.18799999999999972,,0.641,1.596,
1990-01-15,,EASING,0.16599999999999948,0.1900000000000004,,0.6119999999999992,1.6129999999999995,
1990-01-16,,EASING,0.09799999999999898,0.1479999999999997,,0.5749999999999993,1.4559999999999995,
1990-01-17,,EASING,0.13700000000000045,0.1529999999999987,,0.5890000000000004,1.471000000000001,
1990-01-18,,EASING,0.0710000000000015,0.10499999999999865,,0.6270000000000007,1.373000000000001,
1990-01-19,,EASING,0.06999999999999851,0.10599999999999987,,0.5079999999999991,1.411999999999999,
1990-01-20,,EASING,0.06999999999999851,0.10599999999999987,,0.5079999999999991,1.411999999999999,
1990-01-22,,EASING,0.13400000000000034,0.14499999999999957,,0.5419999999999998,1.4699999999999998,
