date,macro_score,macro_regime
1990-01-31,,CONTRACTION
1990-02-01,,CONTRACTION
1990-02-02,,CONTRACTION
1990-02-03,,CONTRACTION
1990-02-28,,CONTRACTION
1990-03-01,,CONTRACTION
1990-03-02,,CONTRACTION
1990-03-03,,CONTRACTION
1990-03-31,,CONTRACTION
1990-04-02,,CONTRACTION
1990-04-03,,CONTRACTION
1990-04-04,,CONTRACTION
1990-04-30,,CONTRACTION
1990-05-01,,CONTRACTION
1990-05-02,,CONTRACTION
1990-05-03,,CONTRACTION
1990-05-31,,CONTRACTION
1990-06-01,,CONTRACTION
1990-06-02,,CONTRACTION
1990-06-04,,CONTRACTION
1990-06-30,,CONTRACTION
1990-07-02,,CONTRACTION
1990-07-03,,CONTRACTION
1990-07-04,,CONTRACTION
1990-07-31,,CONTRACTION
1990-08-01,,CONTRACTION
1990-08-02,,CONTRACTION
1990-08-03,,CONTRACTION
1990-08-31,,CONTRACTION
1990-09-01,,CONTRACTION
1990-09-03,,CONTRACTION
1990-09-04,,CONTRACTION
1990-09-30,,CONTRACTION
1990-10-01,,CONTRACTION
1990-10-02,,CONTRACTION
1990-10-03,,CONTRACTION
1990-10-31,,CONTRACTION
1990-11-01,,CONTRACTION
1990-11-02,,CONTRACTION
1990-11-03,,CONTRACTION
1990-11-30,,CONTRACTION
1990-12-01,,CONTRACTION
1990-12-03,,CONTRACTION
1990-12-04,,CONTRACTION
1990-12-31,,CONTRACTION
1991-01-01,,CONTRACTION
1991-01-02,,CONTRACTION
1991-01-03,,CONTRACTION
1991-01-31,,CONTRACTION
1991-02-01,,CONTRACTION
1991-02-02,,CONTRACTION
1991-02-04,,CONTRACTION
1991-02-28,,CONTRACTION
1991-03-01,,CONTRACTION
1991-03-02,,CONTRACTION
1991-03-04,,CONTRACTION
1991-03-31,,CONTRACTION
1991-04-01,,CONTRACTION
1991-04-02,,CONTRACTION
1991-04-03,,CONTRACTION
1991-04-30,,CONTRACTION
1991-05-01,,CONTRACTION
1991-05-02,,CONTRACTION
1991-05-03,,CONTRACTION
1991-05-31,,CONTRACTION
1991-06-01,,CONTRACTION
1991-06-03,,CONTRACTION
1991-06-04,,CONTRACTION
1991-06-30,,CONTRACTION
1991-07-01,,CONTRACTION
1991-07-02,,CONTRACTION
1991-07-03,,CONTRACTION
1991-07-31,,CONTRACTION
1991-08-01,,CONTRACTION
1991-08-02,,CONTRACTION
1991-08-03,,CONTRACTION
1991-08-31,,CONTRACTION
1991-09-02,,CONTRACTION
1991-09-03,,CONTRACTION
1991-09-04,,CONTRACTION
1991-09-30,,CONTRACTION
1991-10-01,,CONTRACTION
1991-10-02,,CONTRACTION
1991-10-03,,CONTRACTION
1991-10-31,,CONTRACTION
1991-11-01,,CONTRACTION
1991-11-02,,CONTRACTION
1991-11-04,,CONTRACTION
1991-11-30,,CONTRACTION
1991-12-02,,CONTRACTION
1991-12-03,,CONTRACTION
1991-12-04,,CONTRACTION
1991-12-31,,CONTRACTION
1992-01-01,,CONTRACTION
1992-01-02,,CONTRACTION
1992-01-03,,CONTRACTION
1992-01-31,,CONTRACTION
1992-02-01,,CONTRACTION
1992-02-03,,CONTRACTION
1992-02-04,,CONTRACTION
1992-02-29,,CONTRACTION
1992-03-02,,CONTRACTION
1992-03-03,,CONTRACTION
1992-03-04,,CONTRACTION
1992-03-31,,CONTRACTION
1992-04-01,,CONTRACTION
1992-04-02,,CONTRACTION
1992-04-03,,CONTRACTION
1992-04-30,,CONTRACTION
1992-05-01,,CONTRACTION
1992-05-02,,CONTRACTION
1992-05-04,,CONTRACTION
1992-05-31,,CONTRACTION
1992-06-01,,CONTRACTION
1992-06-02,,CONTRACTION
1992-06-03,,CONTRACTION
1992-06-30,,CONTRACTION
1992-07-01,,CONTRACTION
1992-07-02,,CONTRACTION
1992-07-03,,CONTRACTION
1992-07-31,,CONTRACTION
1992-08-01,,CONTRACTION
1992-08-03,,CONTRACTION
1992-08-04,,CONTRACTION
1992-08-31,,CONTRACTION
1992-09-01,67.85714285714285,STRONG GROWTH
1992-09-02,67.78683914510685,STRONG GROWTH
1992-09-03,67.71726776340456,STRONG GROWTH
1992-09-30,65.23977806507834,STRONG GROWTH
1992-10-01,63.74127300151322,MODERATE GROWTH
1992-10-02,61.707467112745505,MODERATE GROWTH
1992-10-03,59.69013405210535,MODERATE GROWTH
1992-10-31,58.24754879431803,MODERATE GROWTH
1992-11-02,58.743656296673365,MODERATE GROWTH
1992-11-03,59.236533789550855,MODERATE GROWTH
1992-11-04,59.72622203125975,MODERATE GROWTH
1992-11-30,65.71849618046821,STRONG GROWTH
1992-12-01,71.10922455419755,STRONG GROWTH
1992-12-02,76.46172720026834,STRONG GROWTH
1992-12-03,81.77654201508315,STRONG GROWTH
1992-12-31,88.65500616670124,STRONG GROWTH
1993-01-01,89.97981634161937,STRONG GROWTH
1993-01-04,91.29726700689612,STRONG GROWTH
1993-01-05,92.60743315968816,STRONG GROWTH
1993-01-31,94.30447749466354,STRONG GROWTH
1993-02-01,94.39087463002599,STRONG GROWTH
1993-02-02,94.47881725174268,STRONG GROWTH
1993-02-03,94.56825484118028,STRONG GROWTH
1993-02-28,93.93047120423554,STRONG GROWTH
1993-03-01,92.90485544068875,STRONG GROWTH
1993-03-02,91.8880853107008,STRONG GROWTH
1993-03-03,90.88001666971059,STRONG GROWTH
1993-03-31,88.68536403388148,STRONG GROWTH
1993-04-01,87.23556263681257,STRONG GROWTH
1993-04-02,85.79685295939323,STRONG GROWTH
1993-04-03,84.36906992564994,STRONG GROWTH
1993-04-30,81.4233896421386,STRONG GROWTH
1993-05-01,79.6931363593909,STRONG GROWTH
1993-05-03,77.97512840149076,STRONG GROWTH
1993-05-04,76.26919522176726,STRONG GROWTH
1993-05-31,74.22024520697873,STRONG GROWTH
1993-06-01,73.71389263056247,STRONG GROWTH
1993-06-02,73.21161281827257,STRONG GROWTH
1993-06-03,72.71334402156842,STRONG GROWTH
1993-06-30,71.21469683542125,STRONG GROWTH
1993-07-01,70.08091592651499,STRONG GROWTH
1993-07-02,68.9547555488576,STRONG GROWTH
1993-07-03,67.83611484104073,STRONG GROWTH
1993-07-31,66.60655172123371,STRONG GROWTH
1993-08-02,66.38933756284307,STRONG GROWTH
1993-08-03,66.17398995688038,STRONG GROWTH
1993-08-04,65.96048009951869,STRONG GROWTH
1993-08-31,66.69015058042783,STRONG GROWTH
1993-09-01,67.53453607998573,STRONG GROWTH
1993-09-02,68.3746321184011,STRONG GROWTH
1993-09-03,69.21048121082914,STRONG GROWTH
1993-09-30,70.26811396042089,STRONG GROWTH
1993-10-01,70.37894260050848,STRONG GROWTH
1993-10-02,70.48980297239756,STRONG GROWTH
1993-10-04,70.60068732613905,STRONG GROWTH
1993-10-31,72.93731823666499,STRONG GROWTH
1993-11-01,75.03574039561984,STRONG GROWTH
1993-11-02,77.12333874311872,STRONG GROWTH
1993-11-03,79.20022378423742,STRONG GROWTH
1993-11-30,81.40550048951414,STRONG GROWTH
1993-12-01,81.37380254924376,STRONG GROWTH
1993-12-02,81.34320289679536,STRONG GROWTH
1993-12-03,81.31367975164612,STRONG GROWTH
1993-12-31,83.76442575052877,STRONG GROWTH
1994-01-03,86.06416157658039,STRONG GROWTH
1994-01-04,88.35274699892697,STRONG GROWTH
1994-01-05,90.63028869742456,STRONG GROWTH
1994-01-31,94.33286519710171,STRONG GROWTH
1994-02-01,95.53799100458393,STRONG GROWTH
1994-02-02,96.73810667838382,STRONG GROWTH
1994-02-03,97.93325115352616,STRONG GROWTH
1994-02-28,99.16697275130232,STRONG GROWTH
1994-03-01,98.95960671492074,STRONG GROWTH
1994-03-02,98.75456826789919,STRONG GROWTH
1994-03-03,98.55182101515194,STRONG GROWTH
1994-03-31,98.32290002244781,STRONG GROWTH
1994-04-01,98.05283059345996,STRONG GROWTH
1994-04-02,97.78530665598528,STRONG GROWTH
1994-04-04,97.520291102025,STRONG GROWTH
1994-04-30,97.45286949923755,STRONG GROWTH
1994-05-02,97.41536630784361,STRONG GROWTH
1994-05-03,97.3791856711464,STRONG GROWTH
1994-05-04,97.34430368121514,STRONG GROWTH
1994-05-31,97.50208449689069,STRONG GROWTH
1994-06-01,97.46508433097068,STRONG GROWTH
1994-06-02,97.42935854201247,STRONG GROWTH
1994-06-03,97.39488453912173,STRONG GROWTH
1994-06-30,97.12019150914702,STRONG GROWTH
1994-07-01,96.65644718657339,STRONG GROWTH
1994-07-02,96.1959187891679,STRONG GROWTH
1994-07-04,95.7385665486403,STRONG GROWTH
1994-07-31,94.81035533719286,STRONG GROWTH
1994-08-01,94.12886578827857,STRONG GROWTH
1994-08-02,93.4514633460573,STRONG GROWTH
1994-08-03,92.77810182385856,STRONG GROWTH
1994-08-31,92.75514819796373,STRONG GROWTH
1994-09-01,93.20722964082861,STRONG GROWTH
1994-09-02,93.65815794484449,STRONG GROWTH
1994-09-03,94.10793545858972,STRONG GROWTH
1994-09-30,94.96291381356806,STRONG GROWTH
1994-10-01,95.16853588540566,STRONG GROWTH
1994-10-03,95.3741442628202,STRONG GROWTH
1994-10-04,95.57973109986798,STRONG GROWTH
1994-10-31,96.20949337595745,STRONG GROWTH
1994-11-01,96.43102546705477,STRONG GROWTH
1994-11-02,96.65248331809542,STRONG GROWTH
1994-11-03,96.87385980732093,STRONG GROWTH
1994-11-30,96.84989969244145,STRONG GROWTH
1994-12-01,96.40268800068827,STRONG GROWTH
1994-12-02,95.95825823988478,STRONG GROWTH
1994-12-03,95.51657925704357,STRONG GROWTH
1994-12-31,94.9329549299666,STRONG GROWTH
1995-01-02,94.59787669266309,STRONG GROWTH
1995-01-03,94.26501336816798,STRONG GROWTH
1995-01-04,93.93433960930273,STRONG GROWTH
1995-01-31,94.06818968917574,STRONG GROWTH
1995-02-01,94.3469347262637,STRONG GROWTH
1995-02-02,94.6252929831467,STRONG GROWTH
1995-02-03,94.90326129373041,STRONG GROWTH
1995-02-28,94.09628850461476,STRONG GROWTH
1995-03-01,92.83096930133381,STRONG GROWTH
1995-03-02,91.57153495577508,STRONG GROWTH
1995-03-03,90.31793176220772,STRONG GROWTH
1995-03-31,85.9375766179774,STRONG GROWTH
1995-04-01,82.66002559756923,STRONG GROWTH
1995-04-03,79.39617044905759,STRONG GROWTH
1995-04-04,76.14589733036341,STRONG GROWTH
1995-04-30,73.73348680960787,STRONG GROWTH
1995-05-01,74.46371932572409,STRONG GROWTH
1995-05-02,75.19145041816105,STRONG GROWTH
1995-05-03,75.9166967542453,STRONG GROWTH
1995-05-31,73.68227639725686,STRONG GROWTH
1995-06-01,70.63247315028475,STRONG GROWTH
1995-06-02,67.5948533353871,STRONG GROWTH
1995-06-03,64.56932004514792,MODERATE GROWTH
1995-06-30,62.333007955656946,MODERATE GROWTH
1995-07-01,63.062823926361624,MODERATE GROWTH
1995-07-03,63.790036555157066,MODERATE GROWTH
1995-07-04,64.51466424407046,MODERATE GROWTH
1995-07-31,68.01839636101013,STRONG GROWTH
1995-08-01,70.73189192257414,STRONG GROWTH
1995-08-02,73.43544405274947,STRONG GROWTH
1995-08-03,76.12912529347685,STRONG GROWTH
1995-08-31,77.37912529347685,STRONG GROWTH
1995-09-01,75.84303664418066,STRONG GROWTH
1995-09-02,74.31301892724733,STRONG GROWTH
1995-09-04,72.78902449801494,STRONG GROWTH
1995-09-30,69.4499701621589,STRONG GROWTH
1995-10-02,67.55737370751865,STRONG GROWTH
1995-10-03,65.67194802209298,STRONG GROWTH
1995-10-04,63.79363902161167,MODERATE GROWTH
1995-10-31,61.72641592298593,MODERATE GROWTH
1995-11-01,61.487944219971574,MODERATE GROWTH
1995-11-02,61.25048435100712,MODERATE GROWTH
1995-11-03,61.014027950264996,MODERATE GROWTH
1995-11-30,59.91430645869762,MODERATE GROWTH
1995-12-01,59.014614067723244,MODERATE GROWTH
1995-12-02,58.118238790358056,MODERATE GROWTH
1995-12-04,57.22515628096479,MODERATE GROWTH
1995-12-31,57.518299854183546,MODERATE GROWTH
1996-01-01,58.674812380802834,MODERATE GROWTH
1996-01-02,59.827374080106324,MODERATE GROWTH
1996-01-03,60.97601183320521,MODERATE GROWTH
1996-01-31,60.12371814025164,MODERATE GROWTH
1996-02-01,58.0914823784333,MODERATE GROWTH
1996-02-02,56.06637689971958,MODERATE GROWTH
1996-02-03,54.04835184806844,MODERATE GROWTH
1996-02-29,52.72970308594698,MODERATE GROWTH
1996-03-01,53.41271578682565,MODERATE GROWTH
1996-03-02,54.093437169475735,MODERATE GROWTH
1996-03-04,54.77188255152937,MODERATE GROWTH
1996-03-31,58.199389848899685,MODERATE GROWTH
1996-04-01,60.92307349969697,MODERATE GROWTH
1996-04-02,63.637710238291106,MODERATE GROWTH
1996-04-03,66.34335995580524,STRONG GROWTH
1996-04-30,69.69504160898191,STRONG GROWTH
1996-05-01,70.28436276121695,STRONG GROWTH
1996-05-02,70.87195124202094,STRONG GROWTH
1996-05-03,71.45781703526659,STRONG GROWTH
1996-05-31,70.66492086040321,STRONG GROWTH
1996-06-01,69.21986221679072,STRONG GROWTH
1996-06-03,67.77974992060493,STRONG GROWTH
1996-06-04,66.34455027819169,STRONG GROWTH
1996-06-30,68.5480718247766,STRONG GROWTH
1996-07-01,72.12176677076135,STRONG GROWTH
1996-07-02,75.68412847857417,STRONG GROWTH
1996-07-03,79.23522857283386,STRONG GROWTH
1996-07-31,81.67974776883639,STRONG GROWTH
1996-08-01,80.48279319701324,STRONG GROWTH
1996-08-02,79.2899762853023,STRONG GROWTH
1996-08-03,78.1012686804809,STRONG GROWTH
1996-08-31,78.35873335040614,STRONG GROWTH
1996-09-02,79.71110683943644,STRONG GROWTH
1996-09-03,81.0595113450999,STRONG GROWTH
1996-09-04,82.40396996187994,STRONG GROWTH
1996-09-30,83.35287229579352,STRONG GROWTH
1996-10-01,82.85699955360928,STRONG GROWTH
1996-10-02,82.36299261617691,STRONG GROWTH
1996-10-03,81.87083789988426,STRONG GROWTH
1996-10-31,81.38052196581832,STRONG GROWTH
1996-11-01,81.28366480657942,STRONG GROWTH
1996-11-02,81.18740372536193,STRONG GROWTH
1996-11-04,81.09173323637044,STRONG GROWTH
1996-11-30,82.2298220416325,STRONG GROWTH
1996-12-02,83.36475377656424,STRONG GROWTH
1996-12-03,84.49654573305546,STRONG GROWTH
1996-12-04,85.62521506306227,STRONG GROWTH
1996-12-31,87.89191992123054,STRONG GROWTH
1997-01-01,88.91894533198091,STRONG GROWTH
1997-01-02,89.94323944582725,STRONG GROWTH
1997-01-03,90.96481650565421,STRONG GROWTH
1997-01-31,91.5089131976362,STRONG GROWTH
1997-02-01,90.91058452238444,STRONG GROWTH
1997-02-03,90.31439384432211,STRONG GROWTH
1997-02-04,89.72032636658476,STRONG GROWTH
1997-02-28,88.70943153944569,STRONG GROWTH
1997-03-01,88.17663317360032,STRONG GROWTH
1997-03-03,87.64572765839337,STRONG GROWTH
1997-03-04,87.1167019917365,STRONG GROWTH
1997-03-31,87.32660334358161,STRONG GROWTH
1997-04-01,87.95516460145481,STRONG GROWTH
1997-04-02,88.58222456644896,STRONG GROWTH
1997-04-03,89.20779006358376,STRONG GROWTH
1997-04-30,89.78274794038413,STRONG GROWTH
1997-05-01,89.61930517197241,STRONG GROWTH
1997-05-02,89.45665792840032,STRONG GROWTH
1997-05-03,89.29479979373957,STRONG GROWTH
1997-05-31,90.4206527919673,STRONG GROWTH
1997-06-02,91.59276682236893,STRONG GROWTH
1997-06-03,92.76189588244367,STRONG GROWTH
1997-06-04,93.92805494186116,STRONG GROWTH
1997-06-30,94.48301556247303,STRONG GROWTH
1997-07-01,93.74980642587396,STRONG GROWTH
1997-07-02,93.01899646816254,STRONG GROWTH
1997-07-03,92.2905703559336,STRONG GROWTH
1997-07-31,92.74377684939967,STRONG GROWTH
1997-08-01,93.8043226146671,STRONG GROWTH
1997-08-02,94.86226839328327,STRONG GROWTH
1997-08-04,95.9176266840176,STRONG GROWTH
1997-08-31,96.56336488797498,STRONG GROWTH
1997-09-01,96.02838853423472,STRONG GROWTH
1997-09-02,95.4952253841387,STRONG GROWTH
1997-09-03,94.96386362995085,STRONG GROWTH
1997-09-30,93.4819106236076,STRONG GROWTH
1997-10-01,92.41135474483255,STRONG GROWTH
1997-10-02,91.3440134872655,STRONG GROWTH
1997-10-03,90.2798677797604,STRONG GROWTH
1997-10-31,90.37554368271279,STRONG GROWTH
1997-11-01,91.42366581404869,STRONG GROWTH
1997-11-03,92.46927713966001,STRONG GROWTH
1997-11-04,93.51238948696745,STRONG GROWTH
1997-11-30,94.28776261217374,STRONG GROWTH
1997-12-01,93.90471693039191,STRONG GROWTH
1997-12-02,93.52299791992854,STRONG GROWTH
1997-12-03,93.14259691742227,STRONG GROWTH
1997-12-31,91.8111243887224,STRONG GROWTH
1998-01-01,90.74869791828004,STRONG GROWTH
1998-01-02,89.68934235127809,STRONG GROWTH
1998-01-03,88.6330401305217,STRONG GROWTH
1998-01-31,87.57235269765383,STRONG GROWTH
1998-02-02,87.46708412047468,STRONG GROWTH
1998-02-03,87.36234308854503,STRONG GROWTH
1998-02-04,87.25812555162045,STRONG GROWTH
1998-02-28,86.41994347609099,STRONG GROWTH
1998-03-02,85.5915813620146,STRONG GROWTH
1998-03-03,84.7655852731082,STRONG GROWTH
1998-03-04,83.9419418622555,STRONG GROWTH
1998-03-31,82.95342597112688,STRONG GROWTH
